玩家0-平民-True
玩家1-狼人-True
玩家2-平民-False
玩家3-预言家-False
玩家4-狼人-True
玩家5-平民-True

平民: [0, 2, 5]
狼人: [1, 4]
预言家: [3]

1,公共-第1天:夜晚
2,公共-第1天:夜晚: 预言家开始查验身份
4,公共-第1天:夜晚: 狼人开始行动
7,公共-第1天:夜晚: 狼人开始投票淘汰人
10,公共-第1天:夜晚: 狼人投票结果，淘汰玩家 2
11,公共-第1天:夜晚:女巫开始行动
12,公共-第1天:夜晚: 猎人开始行动
13,公共-第1天:白天
14,公共-第1天:白天:玩家开始发言
15,公共-第1天:白天:玩家0: 大家好，我是平民玩家0。我认为我们应该分析一下昨晚的情况，看看能不能推理出狼人是谁。
16,公共-第1天:白天:玩家1: 我昨晚验了玩家3，发现他是狼人。我们应该投票淘汰他。
17,公共-第1天:白天:玩家3: 大家好，我是预言家玩家3。我昨晚查验了玩家1的身份，发现他说的是真的，他验出的玩家3是狼人。我建议我们投票淘汰玩家3。
18,公共-第1天:白天:玩家4: 我昨晚查验了玩家0的身份，发现他是狼人。我建议我们投票淘汰玩家0。
19,公共-第1天:白天:玩家5: 我同意玩家0的观点，我们需要分析昨晚的情况，找出狼人。
20,公共-第1天:白天:投票环节开始
21,公共-第1天:白天:玩家 0 投票给玩家 3
22,公共-第1天:白天:玩家 1 投票给玩家 3
23,公共-第1天:白天:玩家 3 投票给玩家 3
24,公共-第1天:白天:玩家 4 投票给玩家 3
25,公共-第1天:白天:玩家 5 投票给玩家 3
26,公共-第1天:白天:投票结果，放逐玩家 3
27,公共-游戏结束，狼人阵营获胜！{'平民': 2, '狼人': 2}
5,狼人-第1天:夜晚:玩家1:我认为我们应该淘汰预言家。
6,狼人-第1天:夜晚:玩家4:我同意淘汰平民。
8,狼人-第1天:夜晚:玩家1投票淘汰玩家2
9,狼人-第1天:夜晚:玩家4投票淘汰玩家2
3,预言家-第1天:夜晚: 预言家查验玩家 1 的身份是 狼人

游戏结束，狼人阵营获胜！{'平民': 2, '狼人': 2}
