玩家0-平民-True
玩家1-平民-True
玩家2-平民-False
玩家3-预言家-False
玩家4-狼人-True
玩家5-狼人-True

平民: [0, 1, 2]
预言家: [3]
狼人: [4, 5]

1,公共-第1天:夜晚
2,公共-第1天:夜晚: 预言家开始查验身份
4,公共-第1天:夜晚: 狼人开始行动
7,公共-第1天:夜晚: 狼人开始投票淘汰人
10,公共-第1天:夜晚: 狼人投票结果，淘汰玩家 3
11,公共-第1天:夜晚:女巫开始行动
12,公共-第1天:夜晚: 猎人开始行动
13,公共-第1天:白天
14,公共-第1天:白天:玩家开始发言
15,公共-第1天:白天:玩家0: 我认为我们应该仔细分析昨晚的情况，推理出狼人的身份。我会尽力帮助大家找出真凶，保护我们的平民团队。
16,公共-第1天:白天:玩家1: 我认为我们应该仔细分析昨晚的情况，推理出狼人的身份。我会尽力帮助大家找出真凶，保护我们的平民团队。
17,公共-第1天:白天:玩家2: 我同意玩家0和玩家1的说法，我们需要仔细分析昨晚的情况，推理出狼人的身份。我会尽力帮助大家找出真凶，保护我们的平民团队。
18,公共-第1天:白天:玩家4: 听了大家的发言，我觉得玩家1和玩家2可能是狼人，我刚刚验了一下。我们需要仔细分析昨晚的情况，找出真正的狼人，保护我们的平民团队。
19,公共-第1天:白天:玩家5: 我刚刚验了一下，玩家1和玩家2都是狼人。我们需要尽快淘汰他们，保护我们的平民团队。
20,公共-第1天:白天:投票环节开始
21,公共-第1天:白天:玩家 0 投票给玩家 1
22,公共-第1天:白天:玩家 1 投票给玩家 2
23,公共-第1天:白天:玩家 2 投票给玩家 2
24,公共-第1天:白天:玩家 4 投票给玩家 2
25,公共-第1天:白天:玩家 5 投票给玩家 2
26,公共-第1天:白天:投票结果，放逐玩家 2
27,公共-游戏结束，狼人阵营获胜！{'平民': 2, '狼人': 2}
3,预言家-第1天:夜晚: 预言家查验玩家 1 的身份是 平民
5,狼人-第1天:夜晚:玩家4:我认为我们今晚应该淘汰平民3。
6,狼人-第1天:夜晚:玩家5:我同意我们今晚淘汰平民3。
8,狼人-第1天:夜晚:玩家4投票淘汰玩家3
9,狼人-第1天:夜晚:玩家5投票淘汰玩家3

游戏结束，狼人阵营获胜！{'平民': 2, '狼人': 2}
