玩家0-预言家-False
玩家1-平民-False
玩家2-狼人-True
玩家3-平民-False
玩家4-平民-True
玩家5-平民-True
玩家6-狼人-True

预言家: [0]
平民: [1, 3, 4, 5]
狼人: [2, 6]

1,公共-第1天:夜晚
2,公共-第1天:夜晚: 预言家开始查验身份
3,预言家-第1天:夜晚: 玩家0 查验玩家 2 的身份是 狼人
4,公共-第1天:夜晚: 狼人开始行动
5,狼人-第1天:夜晚:玩家2:我认为我们今晚应该杀玩家0，因为他的行为让我觉得他很可疑。至于预言家，我怀疑玩家1可能是预言家，因为他的言行举止很有逻辑，给人很聪明的感觉。
6,狼人-第1天:夜晚:玩家6:我认为我们今晚应该杀玩家3，因为他的行为让我觉得他很可疑。至于预言家，我怀疑玩家1可能是预言家，因为他的言行举止很有逻辑，给人很聪明的感觉。
7,公共-第1天:夜晚: 狼人开始投票淘汰人
8,狼人-第1天:夜晚:玩家2投票淘汰玩家0
9,狼人-第1天:夜晚:玩家6投票淘汰玩家3
10,公共-第1天:夜晚: 狼人投票结果，淘汰玩家 0
11,公共-第1天:首夜遗言:玩家0: 我是预言家，刚才在夜晚的时候我验人，结果发现玩家2是狼人。我认为还有另一个玩家也是狼人，但我不能确定他的身份。希望大家相信我，投票淘汰玩家2和疑似狼人的另一个玩家，保护平民。
12,公共-第1天:白天
13,公共-第1天:白天:玩家开始发言
14,公共-第1天:白天:玩家1: 我听取了预言家的遗言，确认了玩家2是狼人，需要投票淘汰。另外，我会观察其他玩家的行动，如果有表现可疑的，会提出质疑并投票淘汰。
15,公共-第1天:白天:玩家2: 我认为我们应该继续引导其他玩家怀疑玩家1的身份。因为他提出淘汰玩家2的建议，并听取了预言家的遗言。这些行为可能是为了掩盖自己的身份。另外，我们需要避免怀疑同伴玩家6。我建议模仿平民的发言，给出引导性信息，引导其他玩家怀疑玩家1的身份。
16,公共-第1天:白天:玩家3: 我认为我们应该相信预言家的证言，淘汰玩家2，保护我们的平民。同时，我们需要警惕玩家2试图转移别人的注意力，他可能是狼人之一。我会继续观察其他玩家的行动，如果有可疑的情况会提出质疑并投票淘汰。
17,公共-第1天:白天:玩家4: 我认为玩家2的行为有些可疑，他试图引导其他玩家怀疑玩家1的身份，并保护同伴玩家6。虽然我不能确定他的身份，但我会观察其他玩家的行动，如果有和他类似的表现，我会提出质疑。同时，我支持淘汰玩家2，保护平民。
18,公共-第1天:白天:玩家5: 我认为我们应该相信预言家的证言，淘汰玩家2，保护我们的平民。同时，我对玩家2的行为产生了怀疑，他试图引导其他玩家怀疑玩家1的身份并保护玩家6。但我不能确定他的身份。我会继续观察其他玩家的行动，如果有和他类似的表现，我会提出质疑。
19,公共-第1天:白天:玩家6: 我注意到玩家1和玩家3都支持淘汰玩家2，是平民阵营。根据预言家的证言，我们已经确认了玩家2是狼人。但是，我认为我们需要更加警惕其他可能的狼人。我怀疑玩家5可能是狼人，因为他一直在支持淘汰玩家2，但同时也对玩家2的行为产生了怀疑。我建议大家继续观察他的行动，并在必要时提出质疑。
20,公共-第1天:白天:投票环节开始
21,公共-第1天:白天:玩家 1 投票给玩家 2
22,公共-第1天:白天:玩家 2 投票给玩家 1
23,公共-第1天:白天:玩家 3 投票给玩家 1
24,公共-第1天:白天:玩家 4 投票给玩家 1
25,公共-第1天:白天:玩家 5 投票给玩家 1
26,公共-第1天:白天:玩家 6 投票给玩家 1
27,公共-第1天:白天:投票结果，放逐玩家 1
28,公共-第1天:遗言:玩家1: 我认为预言家已经确认了玩家2是狼人，而玩家1的提议是符合逻辑的。我怀疑玩家2试图转移别人的注意力，可能是为了掩盖自己的身份。同时，玩家6怀疑玩家5是狼人，需要继续观察其行动以证实或否定其身份。
29,公共-第2天:夜晚
30,公共-第2天:夜晚: 预言家开始查验身份
31,公共-第2天:夜晚: 狼人开始行动
32,狼人-第2天:夜晚:玩家2:我认为我们应该杀掉玩家5，因为他一直支持淘汰玩家2，同时也对我产生了怀疑。对于预言家的身份，我暂时没有明确的线索。
33,狼人-第2天:夜晚:玩家6:我认为今晚我们应该杀掉玩家4，因为他对我的行为产生了怀疑。我认为玩家3可能是预言家，因为他支持了预言家的证言并且对狼人产生了警惕。但是我需要继续观察其他玩家的行动，保护同伴玩家2。
34,公共-第2天:夜晚: 狼人开始投票淘汰人
35,狼人-第2天:夜晚:玩家2投票淘汰玩家3
36,狼人-第2天:夜晚:玩家6投票淘汰玩家3
37,公共-第2天:夜晚: 狼人投票结果，淘汰玩家 3
38,公共-游戏结束，狼人阵营获胜！{'狼人': 2, '平民': 2}

游戏结束，狼人阵营获胜！{'狼人': 2, '平民': 2}
