玩家0-平民-False
玩家1-狼人-True
玩家2-平民-True
玩家3-预言家-False
玩家4-平民-False
玩家5-狼人-True
玩家6-平民-True

平民: [0, 2, 4, 6]
狼人: [1, 5]
预言家: [3]

1,公共-第1天:夜晚
2,公共-第1天:夜晚: 预言家开始查验身份
4,公共-第1天:夜晚: 狼人开始行动
7,公共-第1天:夜晚: 狼人开始投票淘汰人
10,公共-第1天:夜晚: 狼人投票结果，淘汰玩家 4
11,公共-第1天:夜晚:女巫开始行动
12,公共-第1天:夜晚: 猎人开始行动
13,公共-第1天:首夜遗言
14,公共-第1天:首夜遗言:玩家4: 大家好，我是平民玩家4。在昨晚的投票中，我被狼人淘汰了。我认为我们需要分析局势，推理出狼人的身份，以便在今晚的投票中能够更好地保护自己。希望大家能够积极发言，共同努力获得胜利。
15,公共-第1天:白天
16,公共-第1天:白天:玩家开始发言
17,公共-第1天:白天:玩家0: 我同意玩家4的观点，我们需要分析局势，推理出狼人的身份。但是我注意到玩家1和玩家2的发言有些矛盾，我们需要更深入地了解他们的想法。
18,公共-第1天:白天:玩家1: 我同意玩家0的观点，我们需要更深入地了解玩家1和玩家2的想法。
19,公共-第1天:白天:玩家2: 我同意玩家0和玩家1的观点，我们需要更深入地了解玩家1和玩家2的想法。
20,公共-第1天:白天:玩家3: 大家好，我是预言家玩家3。昨晚我查验了玩家1的身份，结果显示他是狼人。我希望大家能够认真分析局势，投票淘汰狼人。
21,公共-第1天:白天:玩家5: 我认为玩家3的发言有些可疑，他可能是狼人。我们需要更深入地了解他的想法。
22,公共-第1天:白天:玩家6: 我同意玩家0的观点，我们需要更深入地了解玩家1和玩家2的想法。
23,公共-第1天:白天:投票环节开始
24,公共-第1天:白天:玩家 0 投票给玩家 玩家1
25,公共-第1天:白天:玩家 1 投票给玩家 玩家5
26,公共-第1天:白天:玩家 2 投票给玩家 玩家3
27,公共-第1天:白天:玩家 3 投票给玩家 玩家5
28,公共-第1天:白天:玩家 5 投票给玩家 玩家3
29,公共-第1天:白天:玩家 6 投票给玩家 玩家5
30,公共-第1天:白天:投票结果，放逐玩家 玩家5
31,公共-第1天:遗言
32,公共-第1天:遗言:玩家4: 我同意大家的观点，我们需要认真分析局势，找出狼人的身份。
33,公共-第2天:夜晚
34,公共-第2天:夜晚: 预言家开始查验身份
36,公共-第2天:夜晚: 狼人开始行动
39,公共-第2天:夜晚: 狼人开始投票淘汰人
42,公共-第2天:夜晚: 狼人投票结果，淘汰玩家 3
43,公共-第2天:夜晚:女巫开始行动
44,公共-第2天:夜晚: 猎人开始行动
45,公共-第2天:白天
46,公共-第2天:白天:玩家开始发言
47,公共-第2天:白天:玩家0: 我注意到玩家1和玩家2的发言有矛盾，我们需要更深入地了解他们的想法。
48,公共-第2天:白天:玩家1: 我同意玩家0的观点，我们需要更深入地了解玩家1和玩家2的想法。
49,公共-第2天:白天:玩家2: 我注意到玩家1和玩家2的发言有矛盾，我们需要更深入地了解他们的想法。
50,公共-第2天:白天:玩家5: 我同意玩家0和玩家1的观点，我们需要更深入地了解玩家1和玩家2的想法。
51,公共-第2天:白天:玩家6: 我注意到玩家1和玩家2的发言有矛盾，我们需要更深入地了解他们的想法。
52,公共-第2天:白天:投票环节开始
53,公共-第2天:白天:玩家 0 投票给玩家 玩家1
54,公共-第2天:白天:玩家 1 投票给玩家 玩家5
55,公共-第2天:白天:玩家 2 投票给玩家 玩家5
56,公共-第2天:白天:玩家 5 投票给玩家 玩家0
57,公共-第2天:白天:玩家 6 投票给玩家 玩家5
58,公共-第2天:白天:投票结果，放逐玩家 玩家5
59,公共-第2天:遗言
60,公共-第2天:遗言:玩家3: 大家好，我是预言家玩家3。我昨晚验人结果显示玩家1是狼人。我建议大家重点关注玩家1的发言和行动，希望大家能够投票淘汰他。
61,公共-第3天:夜晚
62,公共-第3天:夜晚: 预言家开始查验身份
63,公共-第3天:夜晚: 狼人开始行动
66,公共-第3天:夜晚: 狼人开始投票淘汰人
69,公共-第3天:夜晚: 狼人投票结果，淘汰玩家 0
70,公共-第3天:夜晚:女巫开始行动
71,公共-第3天:夜晚: 猎人开始行动
72,公共-游戏结束，狼人阵营获胜！{'狼人': 2, '平民': 2}
5,狼人-第1天:夜晚:玩家1:我认为我们今晚应该淘汰平民4号。
6,狼人-第1天:夜晚:玩家5:我同意淘汰平民4号。
8,狼人-第1天:夜晚:玩家1投票淘汰玩家4
9,狼人-第1天:夜晚:玩家5投票淘汰玩家4
37,狼人-第2天:夜晚:玩家1:我和同伴决定今晚淘汰玩家3。
38,狼人-第2天:夜晚:玩家5:我同伴决定今晚淘汰玩家3。
40,狼人-第2天:夜晚:玩家1投票淘汰玩家3
41,狼人-第2天:夜晚:玩家5投票淘汰玩家3
64,狼人-第3天:夜晚:玩家1:我和同伴商量后，我们决定今晚淘汰玩家0。
65,狼人-第3天:夜晚:玩家5:我和同伴商量后，我们决定今晚淘汰玩家2。
67,狼人-第3天:夜晚:玩家1投票淘汰玩家0
68,狼人-第3天:夜晚:玩家5投票淘汰玩家0
3,预言家-第1天:夜晚: 预言家查验玩家 1 的身份是 狼人
35,预言家-第2天:夜晚: 预言家查验玩家 1 的身份是 狼人

游戏结束，狼人阵营获胜！{'狼人': 2, '平民': 2}
